Departure_2011,Ticket_class_description,Departure,Destination,Paid_fare,Supplier_name,Directorate,Date
February,Economy,UK,Non EEA,616.67,QANTAS AIRWAYS,IPS,11/03/12
February,Economy,UK,UK,86.54,BRITISH AIRWAYS,IPS,21/07/12
January,Economy,UK,UK,151.54,BRITISH AIRWAYS,IPS,04/09/12
February,Economy,UK,UK,104.62,BRITISH AIRWAYS,IPS,17/07/12
February,Business Class,UK,UK,161.8,BRITISH AIRWAYS,IPS,06/11/11
February,Economy,UK,UK,114.62,BRITISH AIRWAYS,IPS,29/04/12
February,Economy,UK,UK,62.85,BRITISH AIRWAYS,IPS,14/05/12
February,Economy,UK,UK,160.51,FLYBE BRITISH EUROPEAN,IPS,20/01/11
February,Economy,UK,UK,136.51,FLYBE BRITISH EUROPEAN,IPS,29/04/11
February,Economy,UK,UK,142.59,BMI,IPS,03/02/12
February,Economy,UK,UK,11.99,FLYBE BRITISH EUROPEAN,IPS,16/12/11
February,Economy,UK,UK,136.51,FLYBE BRITISH EUROPEAN,IPS,25/11/11
February,Business Class,UK,UK,161.69,BRITISH AIRWAYS,IPS,22/04/11
February,Economy,UK,UK,101.03,EASYJET,IPS,09/06/12
February,Economy,UK,UK,101.5,FLYBE BRITISH EUROPEAN,IPS,29/03/12
February,Economy,UK,UK,87.5,FLYBE BRITISH EUROPEAN,IPS,26/05/11
February,Economy,UK,UK,290.9,BMI,IPS,19/07/11
February,Economy,UK,UK,65.6,FLYBE BRITISH EUROPEAN,IPS,26/09/12
February,Business Class,UK,UK,154.5,BRITISH AIRWAYS,IPS,06/07/12
February,Economy,UK,UK,123.91,FLYBE BRITISH EUROPEAN,IPS,22/02/12
February,Economy,UK,UK,211.59,BMI,IPS,09/04/11
February,Economy,UK,UK,48.01,FLYBE BRITISH EUROPEAN,IPS,09/04/12
February,Economy,UK,UK,184.34,FLYBE BRITISH EUROPEAN,IPS,14/11/11
February,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,16/05/12
February,Economy,UK,UK,234.59,BMI,IPS,08/01/12
February,Economy,UK,UK,48.5,FLYBE BRITISH EUROPEAN,IPS,30/07/11
February,Economy,UK,UK,126.51,FLYBE BRITISH EUROPEAN,IPS,30/01/11
January,Economy,UK,UK,60,BRITISH AIRWAYS,IPS,31/01/12
January,Economy,UK,UK,23.98,FLYBE BRITISH EUROPEAN,IPS,21/06/12
February,Economy,UK,UK,68.03,EASYJET,IPS,29/04/11
January,Economy,UK,UK,74.15,FLYBE BRITISH EUROPEAN,ISA,26/03/11
January,Economy,UK,UK,121.3,EASTERN AIRWAYS,ISA,23/02/11
January,Economy,Non EEA,UK,356.97,VIRGIN ATLANTIC,OSCT,28/08/12
January,Economy,UK,UK,104.01,FLYBE BRITISH EUROPEAN,SIG,09/06/11
February,Economy,UK,UK,90.5,BRITISH AIRWAYS,OSCT,03/09/12
January,Economy,UK,UK,66.69,BRITISH AIRWAYS,Strategy & Reform Directorate,29/12/11
January,Economy,UK,UK,104.01,FLYBE BRITISH EUROPEAN,SIG,03/07/11
January,Economy,UK,UK,60.85,BRITISH AIRWAYS,Strategic Director Border,09/08/12
January,Economy,UK,UK,131.98,BMI BABY,Strategic Director Border,18/04/11
January,Economy,UK,UK,195.5,BMI,Strategic Director Border,04/07/12
January,Economy,UK,UK,295.59,BMI,Crime & Policing Group,22/07/12
February,Economy,UK,UK,35.85,BRITISH AIRWAYS,HROD,18/02/11
March,Premium Economy,UK,Non EEA,622.7,BRITISH AIRWAYS,Strategy & Reform Directorate,26/09/11
February,Economy,UK,UK,82.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,13/04/12
January,Economy,UK,UK,186.9,FLYBE BRITISH EUROPEAN,Policy & Strategy,20/11/11
January,Economy,UK,EEA,298.9,BRITISH AIRWAYS,Policy & Strategy,20/02/12
January,Economy,UK,UK,111.34,FLYBE BRITISH EUROPEAN,Strategic Director Border,31/08/11
